date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
03-03-2021 12:00,2,68.84,32.205,47.53731667,2069.676,36.10303333,437.9766667,27.49166667,57.055
03-03-2021 13:00,2,66.53666667,31.45666667,48.94413333,1622.354,37.23223333,437.54,27.21333333,56
03-03-2021 14:00,2,63.335,30.37166667,50.90713333,1353.999,38.26733333,424.0033333,27.31,54.395
03-03-2021 15:00,2,62.33833333,29.89666667,53.91706667,1224.119,39.96113333,420.51,27.21,53.77166667
03-03-2021 16:00,2,61.62833333,29.31333333,57.38503333,1127.473,42.345,414.8333333,27.295,53.44
03-03-2021 17:00,2,82.00666667,36.775,82.80588333,966.842,63.988,406.1,28.205,56.86333333
03-03-2021 18:00,2,108.5783333,47.79833333,72.69643333,816.334,58.02833333,420.9466667,29.14666667,58.47666667
03-03-2021 19:00,2,108.6633333,48.275,73.84151667,705.745,59.7535,399.55,29.2,61.315
03-03-2021 20:00,2,89.01666667,39.87333333,73.18718333,641.951,59.59666667,386.45,29.20666667,63.025
03-03-2021 21:00,2,78.68863636,35.59090909,71.33720455,612.3286364,58.72695455,366.8,29.22272727,64.33863636
03-03-2021 22:00,2,77.29333333,35.13833333,69.78465,609.099,57.55783333,366.3633333,29.20333333,65.37333333
03-03-2021 23:00,2,76.65666667,34.92,67.49448333,563.832,57.05596667,345.4033333,29.18833333,66.32333333
04-03-2021 00:00,2,84.25166667,38.00166667,67.23275,496.409,56.96186667,338.8533333,29.105,67.10833333
04-03-2021 01:00,2,75.775,34.23,66.31668333,472.534,56.61683333,317.4566667,29.1,67.08833333
04-03-2021 02:00,2,55.74666667,25.21166667,63.43761667,471.77,54.51526667,315.71,29.10166667,66.73
04-03-2021 03:00,2,43.01833333,19.56833333,65.23703333,494.308,55.2367,315.71,29.08,66.86333333
04-03-2021 04:00,2,47.84,21.61666667,67.62535,523.722,56.46,314.4,29,67.06833333
04-03-2021 05:00,2,47.84333333,21.27,68.705,567.652,56.9305,318.7666667,28.945,67.245
04-03-2021 06:00,2,65.87833333,24.76833333,68.9013,658.568,56.8364,338.4166667,28.9,67.10833333
04-03-2021 07:00,2,84.65,29.25,75.90266667,958.056,59.06343333,381.21,28.79333333,67.78666667
04-03-2021 08:00,2,97.38833333,31.01166667,98.11728333,856.635,67.752,333.1766667,28.66333333,67.80166667
04-03-2021 09:00,2,93.76666667,30.73333333,108.6193333,867.14,67.752,340.6,29.1,66.13333333
05-03-2021 07:00,2,58.77727273,21.95454545,0.624590909,9086.217273,7.613545455,,28.05,66.52272727
05-03-2021 08:00,2,62.16785714,22.03214286,26.78092857,783.3728571,35.38832143,439.7857143,28.20714286,62.13035714
05-03-2021 09:00,2,47.36764706,16.97058824,35.79588235,697.7117647,31.27441176,367.5705882,29.40588235,51.65588235
05-03-2021 10:00,2,42.26833333,19.54166667,36.02105,628.963,22.4899,330.5566667,28.30833333,51.835
05-03-2021 11:00,2,57.54166667,26.73833333,67.26546667,1067.881,47.95963333,289.51,27.09333333,57.64
05-03-2021 12:00,2,67.76333333,31.43833333,68.01795,1059.859,50.59443333,310.47,26.99,58.90166667
05-03-2021 13:00,2,60.20833333,28.17666667,61.54005,862.938,48.4615,315.71,27.365,57.12
05-03-2021 14:00,2,30.56833333,15.25166667,61.96536667,852.433,48.02236667,314.4,27.38166667,56.92333333
05-03-2021 15:00,2,38.215,18.04,64.05923333,924.058,48.7438,314.4,27.46666667,57.435
05-03-2021 16:00,2,53.38666667,24.93,63.53576667,813.278,48.30466667,314.8366667,27.795,55.41666667
05-03-2021 17:00,2,53.78333333,24.27,67.20003333,778.325,51.78636667,316.5833333,27.94333333,57.09833333
05-03-2021 18:00,2,40.69333333,17.93666667,64.74628333,770.303,50.56306667,340.1633333,28.92,57.24666667
05-03-2021 19:00,2,36.18666667,16.255,62.71785,772.404,49.84163333,344.53,29.01,58.92666667
05-03-2021 20:00,2,31.075,14.14166667,63.50305,759.416,50.56306667,340.6,29.06666667,60.02666667
05-03-2021 21:00,2,28.73333333,13.095,65.1716,744.518,51.0022,340.6,29.08166667,60.53833333
05-03-2021 22:00,2,28.545,12.88833333,66.5457,733.058,51.8491,340.6,29.09333333,60.86
05-03-2021 23:00,2,34.80166667,14.63,68.1161,768.775,53.1665,340.6,29.03833333,61.42166667
06-03-2021 00:00,2,47.875,20.585,65.33518333,747.574,53.04103333,341.91,29.04666667,61.10333333
06-03-2021 01:00,2,40.175,18.20666667,63.66663333,700.397,52.2255,333.1766667,28.95666667,61.295
06-03-2021 02:00,2,32.39,15.17,61.60548333,665.062,50.28076667,320.5133333,28.93333333,60.97333333
06-03-2021 03:00,2,26.89333333,12.58833333,65.00801667,656.085,51.78636667,315.2733333,28.85166667,61.22166667
06-03-2021 04:00,2,43.21666667,19.265,67.98523333,714.149,54.04476667,324.88,28.76,62.1
06-03-2021 05:00,2,81.65833333,34.71833333,67.75621667,948.888,54.04476667,372.04,28.675,62.35833333
06-03-2021 06:00,2,73.61333333,30.55666667,64.25553333,1372.908,53.10376667,450.64,28.64833333,62.80333333
06-03-2021 07:00,2,81.43,33.42166667,65.30246667,1872.946,54.578,538.8466667,28.70166667,63.37833333
06-03-2021 08:00,2,62.07333333,26.75,69.16303333,1412.636,57.08733333,451.0766667,28.88666667,62.04333333
06-03-2021 09:00,2,54.33833333,23.225,71.0606,1060.432,56.96186667,398.24,29.13833333,61.17333333
06-03-2021 10:00,2,43.475,19.29615385,60.6265,855.7534615,49.33011538,385.4423077,29.42115385,59.94230769
06-03-2021 11:00,2,39.415,17.71333333,55.84735,760.562,45.23073333,380.7733333,29.665,58.75666667
06-03-2021 12:00,2,37.88166667,16.67166667,52.67383333,719.115,43.6624,369.42,29.78,57.53666667
06-03-2021 13:00,2,40.04333333,17.73833333,52.05221667,715.868,43.06643333,380.7733333,29.88333333,56.91166667
06-03-2021 14:00,2,44.37666667,19.77333333,53.29545,739.361,43.0037,393,30.02333333,56.56166667
06-03-2021 15:00,2,45.54666667,20.36833333,56.69798333,759.225,43.53693333,393,30.14166667,56.855
06-03-2021 16:00,2,44.10833333,20.15333333,59.64248333,762.281,45.88943333,396.93,30.115,58.57
06-03-2021 17:00,2,34.48833333,15.86833333,58.72641667,734.204,45.66986667,394.31,30.12833333,58.27666667
06-03-2021 18:00,2,34.13333333,15.48833333,58.3011,748.72,47.39503333,393,30.03333333,58.94333333
06-03-2021 19:00,2,39.83333333,17.44,61.0493,817.48,50.1553,393,29.93333333,59.68
06-03-2021 20:00,2,44.1483871,19.91935484,63.25925806,817.3567742,51.72464516,393,29.9,60.48709677
07-03-2021 08:00,2,31.9,14.62,60.0678,696.768,50.4376,340.6,29.5,66.44
07-03-2021 09:00,2,34.82542373,15.51016949,59.35579661,707.0237288,49.41047458,355.6983051,29.61525424,65.86440678
07-03-2021 10:00,2,39.71666667,17.25,56.20723333,744.709,47.3323,367.2366667,29.945,64.52833333
07-03-2021 11:00,2,44.93666667,19.44833333,54.34238333,745.091,46.2972,372.9133333,30.18833333,63.47833333
07-03-2021 12:00,2,46.41666667,20.59666667,51.65961667,742.417,44.07016667,386.8866667,30.29,62.295
07-03-2021 13:00,2,45.49666667,20.78166667,49.82748333,745.091,41.34126667,393,30.34833333,60.64833333
07-03-2021 14:00,2,40.32711864,18.60677966,53.79950847,765.2949153,42.42474576,393,30.44067797,60.84915254
07-03-2021 15:00,2,32.16833333,14.75166667,57.97393333,752.922,45.38756667,393.4366667,30.5,62.47166667
07-03-2021 16:00,2,30.02333333,13.545,58.59555,747.956,45.95216667,394.7466667,30.44833333,62.98
07-03-2021 17:00,2,31.865,14.26666667,55.29116667,743.563,45.76396667,393,30.39833333,62.49166667
07-03-2021 18:00,2,32.10833333,14.44833333,49.76205,727.328,42.59593333,383.3933333,30.20333333,60.42833333
07-03-2021 19:00,2,32.16666667,14.82333333,52.08493333,741.462,42.40773333,380.7733333,30.07,59.67
07-03-2021 20:00,2,33.97166667,15.62,54.44053333,739.361,43.286,374.2233333,29.96333333,59.91166667
07-03-2021 21:00,2,36.8,16.70166667,56.04365,726.755,45.7326,366.8,29.9,60.51833333
07-03-2021 22:00,2,39.52833333,17.82833333,58.4974,748.338,48.3674,366.8,29.9,60.93666667
07-03-2021 23:00,2,40.35666667,18.36,61.21288333,785.392,50.9081,366.8,29.81666667,61.22333333
08-03-2021 00:00,2,41.30166667,18.905,62.68513333,786.729,51.15903333,368.11,29.78666667,61.47166667
08-03-2021 01:00,2,48.42,22.02666667,64.25553333,794.178,51.1904,365.49,29.65666667,61.83
08-03-2021 02:00,2,46.16666667,21.09666667,65.79321667,763.236,52.8842,356.32,29.62,61.825
08-03-2021 03:00,2,46.005,20.87833333,64.90986667,767.82,52.28823333,357.63,29.54166667,62.15666667
08-03-2021 04:00,2,54.42833333,23.205,63.04501667,777.37,51.59816667,348.8966667,29.45666667,61.10833333
08-03-2021 05:00,2,72.69166667,29.335,64.74628333,865.039,52.47643333,366.3633333,29.365,60.895
08-03-2021 06:00,2,95.37833333,37.96666667,67.62535,1288.486,54.578,437.1033333,29.3,62.09666667
08-03-2021 07:00,2,107.6033333,41.925,70.30811667,1800.366,55.8954,517.45,29.35666667,63.40666667
08-03-2021 08:00,2,121.7633333,41.28166667,104.2680167,1352.089,68.693,435.7933333,29.32333333,65.835
08-03-2021 09:00,2,70.13,30.56,73.90695,1254.297,46.7677,401.2966667,27.62166667,63.31166667
08-03-2021 10:00,2,61.725,28.37,82.38056667,1084.498,53.19786667,366.3633333,27.195,62.44833333
08-03-2021 11:00,2,64.4,29.6875,68.459625,998.4525,45.6385,366.8,27.3,58.9375
08-03-2021 14:00,2,61.20526316,28.46578947,67.51686842,699.06,48.932,315.0894737,26.96315789,57.86052632
08-03-2021 15:00,2,71.12833333,32.40666667,70.79886667,728.856,51.88046667,315.2733333,27,59.29333333
08-03-2021 16:00,2,57.43833333,26.435,72.72915,745.091,55.11123333,310.0333333,27.04,60.56166667
08-03-2021 17:00,2,43.16833333,19.765,71.22418333,742.99,57.74603333,326.19,28.13833333,60.17166667
08-03-2021 18:00,2,46.72333333,20.355,65.89136667,806.211,52.7901,364.6166667,29.11333333,60.425
08-03-2021 19:00,2,52.095,22.9,61.76906667,838.299,49.1202,389.9433333,29.37666667,59.86
08-03-2021 20:00,2,53.69666667,23.935,63.07773333,798.571,50.7199,374.66,29.4,61.51666667
08-03-2021 21:00,2,48.41,21.66833333,65.30246667,775.842,53.10376667,367.6733333,29.38166667,63.29166667
08-03-2021 22:00,2,41.15666667,18.785,64.48455,720.643,53.79383333,364.6166667,29.38166667,64.33
08-03-2021 23:00,2,36.65166667,16.96166667,63.66663333,667.545,53.38606667,346.7133333,29.36,65.17833333
09-03-2021 00:00,2,35.32166667,16.35,63.47033333,657.04,52.8842,341.4733333,29.34,65.86666667
09-03-2021 01:00,2,36.08,16.745,62.58698333,637.558,52.19413333,340.6,29.29833333,66.34
09-03-2021 02:00,2,37.705,17.44333333,63.43761667,649.209,52.38233333,341.91,29.26,66.52333333
09-03-2021 03:00,2,36.34,16.71833333,62.84871667,617.885,53.3547,333.1766667,29.22166667,66.65833333
09-03-2021 04:00,2,37.41,17.05,64.48455,631.637,54.3898,327.5,29.17333333,66.855
09-03-2021 05:00,2,39.30333333,17.79166667,64.51726667,669.073,55.20533333,337.98,29.09833333,67.17333333
09-03-2021 06:00,2,53.51333333,23.07166667,66.28396667,817.48,55.26806667,354.1366667,29.07166667,67.15833333
09-03-2021 07:00,2,94.72333333,36.26333333,84.24541667,1726.831,60.85133333,475.9666667,28.83333333,67.46833333
09-03-2021 08:00,2,113.1733333,37.555,116.70035,1342.921,75.81323333,387.3233333,28.74666667,68.245
09-03-2021 09:00,2,99.22666667,34.73666667,109.43725,999.885,58.74976667,364.6166667,29.59166667,63.84
09-03-2021 10:00,2,73.71864407,29.57118644,72.19847458,887.0816949,30.78186441,411.6508475,29.43220339,59.18474576
09-03-2021 11:00,2,52.19166667,24.23666667,53.32816667,780.426,37.1695,325.7533333,27.22833333,57.8
09-03-2021 12:00,2,74.655,33.68,67.95251667,819.199,50.7199,326.19,27.01166667,60.825
